"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"YOGURT","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,0,47,3.86,7.5,87.43,0.116,0.18
"PARMESAN CHS TOPPING","PARMESAN CHS TOPPING,FAT FREE",40,0,370,40,1.5,8.6,3.11,5
"CHEESE","CHEESE,CREAM,FAT FREE",7.66,0,105,15.69,5.480000019,71.87,0.644,1
"YOGURT","YOGURT,CHOC,NONFAT MILK",23.53,1.200000048,108,3.53,14.97000027,71.57,0,0
"No Category","KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU",9.2,0.300000012,276,12,6.699999809,51.5,13.1,21
"No Category","KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT",16.2,0.200000003,215,16.3,8.199999809,51.5,6.4,9.5
"No Category","KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT",11.7,0.200000003,148,22.7,6.699999809,58,0.7,1
"No Category","KRAFT VELVEETA PAST PROCESS CHS SPRD",9.8,0,303,16.3,8.100000381,45.8,14.4,22
"No Category","KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT",11.8,0,222,19.6,8.5,51.3,7.1,10.6
"No Category","KRAFT BREAKSTONE'S RED FAT SOUR CRM",6.5,0.100000001,152,4.5,6.400000095,76.2,7.6,12
"No Category","KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM",15.1,0,91,4.7,7.199999809,77.7,0.8,1.3
"No Category","KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)",18.2,0.200000003,96,3.8,17.39999962,76.5,0.5,0.8
"No Category","KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)",21.9,0.200000003,108,3.2,19.60000038,73.3,0.5,0.8
"No Category","KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)",19.9,0.300000012,102,3.8,17.20000076,74.8,0.5,0.9
"No Category","KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T)",9.9,0,55,3.4,7.699999809,86,0.1,0.2
"CREAM","CREAM,HALF & HALF,FAT FREE",9,0,59,2.6,5,86,0.841,1.4
"No Category","REDDI WIP FAT FREE WHIPPED TOPPING",25,0.400000006,149,3,16,66.44,2.869,5
"MILK","MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",12.13,0.699999988,78,2.99,9.550000191,82.17,1.177,1.9
"YOGURT","YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",18.6,0,105,4.86,2.900000095,74.1,0.909,1.41
"CHEESE","CHEESE,PARMESAN,DRY GRATED,RED FAT",1.37,0,265,20,0,50.6,13.317,20
"CREAM SUB","CREAM SUB,FLAV,LIQ",35.07,1.100000024,251,0.69,33.04000092,50.06,2.635,13.5
"CREAM SUB","CREAM SUB,FLAV,POWDERED",75.42,1.200000048,495,0,58.00999832,1.52,19.446,21.47
"CHEESE","CHEESE,PROVOLONE,RED FAT",3.5,0,274,24.7,0.550000012,50.6,11.3,17.6
"CHEESE","CHEESE,MEXICAN,BLEND,RED FAT",3.41,0,282,24.69,0.560000002,48.2,11.58,19.4
"EGG MIX","EGG MIX,USDA CMDTY",23.97,0,549,35.6,2.460000038,2.78,10.305,34.5
"ALLSPICE","ALLSPICE,GROUND",72.12,21.60000038,263,6.09,0,8.46,2.55,8.69
"No Category","ANISE SEED",50.02,14.60000038,337,17.6,0,9.54,0.586,15.9
"SPICES","SPICES,BASIL,DRIED",60.96,40.5,251,14.37,1.710000038,6.43,0.24,3.98
"SPICES","SPICES,BAY LEAF",74.97,26.29999924,313,7.61,0,5.44,2.28,8.36
"No Category","CARAWAY SEED",49.9,38,333,19.77,0.639999986,9.87,0.62,14.59
"SPICES","SPICES,CARDAMOM",68.47,28,311,10.76,0,8.28,0.68,6.7
"No Category","CELERY SEED",41.35,11.80000019,392,18.07,0.670000017,6.04,2.19,25.27
"CHERVIL","CHERVIL,DRIED",49.1,11.30000019,237,23.2,0,7.2,0.169,3.9
"No Category","CHILI POWDER",54.66,34.20000076,314,12.26,7.190000057,7.79,2.953,16.76
"CINNAMON","CINNAMON,GROUND",80.59,53.09999847,247,3.99,2.170000076,10.58,0.345,1.24
"CLOVES","CLOVES,GROUND",61.21,34.20000076,323,5.98,2.380000114,6.86,5.438,20.07
"CORIANDER LEAF","CORIANDER LEAF,DRIED",52.1,10.39999962,279,21.93,7.269999981,7.3,0.115,4.78
"No Category","CORIANDER SEED",54.99,41.90000153,298,12.37,0,8.86,0.99,17.77
"No Category","CUMIN SEED",44.24,10.5,375,17.81,2.25,8.06,1.535,22.27
"No Category","CURRY POWDER",58.15,33.20000076,325,12.66,2.75999999,9.52,2.237,13.81
"No Category","DILL SEED",55.17,21.10000038,305,15.98,0,7.7,0.73,14.54
"DILL WEED","DILL WEED,DRIED",55.82,13.60000038,253,19.96,0,7.3,0.234,4.36
"No Category","FENNEL SEED",52.29,39.79999924,345,15.8,0,8.81,0.48,14.87
"No Category","FENUGREEK SEED",58.35,24.60000038,323,23,0,8.84,1.46,6.41
"No Category","GARLIC POWDER",72.71,9.899999619,332,16.8,24.29999924,6.45,0.135,0.76
"GINGER","GINGER,GROUND",70.79,12.5,347,9.12,3.390000105,9.38,1.94,5.95
"MACE","MACE,GROUND",50.5,20.20000076,475,6.71,0,8.17,9.51,32.38
"MARJORAM","MARJORAM,DRIED",60.56,40.29999924,271,12.66,4.090000153,7.64,0.529,7.04
